activity,timestamp,rental,inventory,customer,staff,inspection,invoice,store,lifecycle
create_rental,2020-01-01 08:11:09.767440,[15],"[73, 57]",76,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:11:09.767440,[13],"[101, 109]",7,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:11:09.767440,[17],"[46, 111]",66,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 08:16:44.651160,[30],"[24, 6]",22,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:16:44.651160,[22],"[129, 82]",71,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:16:44.651160,[23],"[76, 45]",26,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 08:16:44.651160,[24],"[116, 141]",3,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 08:16:44.651160,[25],"[164, 79]",51,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:16:44.651160,[26],"[133, 142]",29,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:16:44.651160,[27],"[110, 167]",36,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:16:44.651160,[28],"[18, 68]",27,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:16:44.651160,[29],"[40, 47]",58,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:16:44.651160,[31],[166],78,EMPTY,EMPTY,EMPTY,1,complete
create_invoice,2020-01-01 08:21:37.674415,"[6, 7, 14, 15, 28]",EMPTY,EMPTY,7,EMPTY,"[2, 3, 4, 5, 6]",6,complete
pay_invoice,2020-01-01 08:22:19.534880,[2],EMPTY,62,EMPTY,EMPTY,[1],6,complete
pay_invoice,2020-01-01 08:22:19.534880,[7],EMPTY,48,EMPTY,EMPTY,[3],6,complete
create_rental,2020-01-01 08:22:19.534880,[32],"[153, 154]",36,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:22:19.534880,[33],"[90, 44]",69,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:22:19.534880,[34],"[91, 127]",63,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:22:19.534880,[35],"[22, 7]",8,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:22:19.534880,[36],"[120, 158]",23,EMPTY,EMPTY,EMPTY,2,complete
create_invoice,2020-01-01 08:23:43.255810,"[3, 36, 18, 19, 25, 29]",EMPTY,EMPTY,16,EMPTY,"[7, 8, 9, 10, 11, 12]",2,complete
create_invoice,2020-01-01 08:25:48.837205,"[20, 4, 12, 23]",EMPTY,EMPTY,20,EMPTY,"[13, 14, 15, 16]",5,complete
pay_invoice,2020-01-01 08:27:54.418600,[4],EMPTY,75,EMPTY,EMPTY,[13],5,complete
pay_invoice,2020-01-01 08:27:54.418600,[19],EMPTY,44,EMPTY,EMPTY,[9],2,complete
create_rental,2020-01-01 08:27:54.418600,[39],"[32, 135]",28,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:27:54.418600,[38],"[1, 150]",51,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:27:54.418600,[37],"[2, 125]",67,EMPTY,EMPTY,EMPTY,4,complete
create_invoice,2020-01-01 08:29:59.999995,"[8, 10, 16, 17, 21, 24]",EMPTY,EMPTY,19,EMPTY,"[17, 18, 19, 20, 21, 22]",3,complete
create_invoice,2020-01-01 08:31:23.720925,"[32, 35, 11, 22, 26, 27, 30, 31]",EMPTY,EMPTY,6,EMPTY,"[23, 24, 25, 26, 27, 28, 29, 30]",1,complete
create_invoice,2020-01-01 08:32:47.441855,[33],EMPTY,EMPTY,7,EMPTY,[31],6,complete
create_rental,2020-01-01 08:33:29.302320,[43],"[106, 92]",20,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:33:29.302320,[42],"[21, 126]",34,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:33:29.302320,[41],"[72, 52]",33,EMPTY,EMPTY,EMPTY,5,complete
pay_invoice,2020-01-01 08:33:29.302320,"[32, 27]",EMPTY,36,EMPTY,EMPTY,"[26, 29]",1,complete
pay_invoice,2020-01-01 08:33:29.302320,"[33, 14]",EMPTY,69,EMPTY,EMPTY,"[4, 31]",6,complete
pay_invoice,2020-01-01 08:33:29.302320,"[11, 30]",EMPTY,22,EMPTY,EMPTY,"[23, 27]",1,complete
pay_invoice,2020-01-01 08:33:29.302320,[35],EMPTY,8,EMPTY,EMPTY,[30],1,complete
create_rental,2020-01-01 08:33:29.302320,[40],"[161, 63]",75,EMPTY,EMPTY,EMPTY,5,complete
pay_invoice,2020-01-01 08:33:29.302320,[26],EMPTY,29,EMPTY,EMPTY,[25],1,complete
pay_invoice,2020-01-01 08:33:29.302320,[3],EMPTY,9,EMPTY,EMPTY,[7],2,complete
pay_invoice,2020-01-01 08:33:29.302320,"[18, 29]",EMPTY,58,EMPTY,EMPTY,"[8, 11]",2,complete
pay_invoice,2020-01-01 08:33:29.302320,[16],EMPTY,24,EMPTY,EMPTY,[19],3,complete
pay_invoice,2020-01-01 08:33:29.302320,[12],EMPTY,12,EMPTY,EMPTY,[14],5,complete
confirm_invoice,2020-01-01 08:34:11.162785,"[19, 18, 3, 29]",EMPTY,EMPTY,16,EMPTY,"[7, 8, 9, 11]",2,complete
create_invoice,2020-01-01 08:34:53.023250,"[42, 43]",EMPTY,EMPTY,7,EMPTY,"[32, 33]",6,complete
confirm_invoice,2020-01-01 08:36:58.604645,"[32, 35, 11, 26, 27, 30]",EMPTY,EMPTY,2,EMPTY,"[23, 25, 26, 27, 29, 30]",1,complete
pay_invoice,2020-01-01 08:39:04.186040,[28],EMPTY,27,EMPTY,EMPTY,[6],6,complete
create_rental,2020-01-01 08:39:04.186040,[46],[98],35,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:39:04.186040,[44],"[144, 151]",70,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:39:04.186040,[45],"[160, 54]",64,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 08:39:04.186040,"[17, 10]",EMPTY,66,EMPTY,EMPTY,"[18, 20]",3,complete
create_invoice,2020-01-01 08:39:46.046505,[37],EMPTY,EMPTY,4,EMPTY,[34],4,complete
confirm_invoice,2020-01-01 08:42:33.488365,"[4, 12]",EMPTY,EMPTY,20,EMPTY,"[13, 14]",5,complete
pay_invoice,2020-01-01 08:44:39.069760,[22],EMPTY,71,EMPTY,EMPTY,[24],1,complete
create_rental,2020-01-01 08:44:39.069760,[54],"[33, 38]",38,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 08:44:39.069760,[53],"[60, 134]",8,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:44:39.069760,[51],"[58, 155]",47,EMPTY,EMPTY,EMPTY,5,complete
pay_invoice,2020-01-01 08:44:39.069760,[36],EMPTY,23,EMPTY,EMPTY,[12],2,complete
pay_invoice,2020-01-01 08:44:39.069760,[21],EMPTY,73,EMPTY,EMPTY,[21],3,complete
create_rental,2020-01-01 08:44:39.069760,[52],"[105, 102]",66,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 08:44:39.069760,[49],"[121, 12]",33,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 08:44:39.069760,[48],"[19, 37]",37,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:44:39.069760,[47],"[43, 118]",34,EMPTY,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 08:44:39.069760,[6],EMPTY,13,EMPTY,EMPTY,[2],6,complete
pay_invoice,2020-01-01 08:44:39.069760,[8],EMPTY,10,EMPTY,EMPTY,[17],3,complete
create_rental,2020-01-01 08:44:39.069760,[50],"[81, 159]",48,EMPTY,EMPTY,EMPTY,6,complete
create_invoice,2020-01-01 08:45:20.930225,"[0, 34, 5, 39, 9, 44, 13, 46]",EMPTY,EMPTY,14,EMPTY,"[35, 36, 37, 38, 39, 40, 41, 42]",7,complete
confirm_rental,2020-01-01 08:46:02.790690,"[11, 26, 27, 30, 32, 35]",EMPTY,EMPTY,6,EMPTY,EMPTY,1,complete
create_invoice,2020-01-01 08:48:08.372085,"[48, 38]",EMPTY,EMPTY,16,EMPTY,"[43, 44]",2,complete
create_invoice,2020-01-01 08:48:50.232550,"[50, 47]",EMPTY,EMPTY,7,EMPTY,"[45, 46]",6,complete
create_invoice,2020-01-01 08:49:32.093015,"[52, 54]",EMPTY,EMPTY,19,EMPTY,"[47, 48]",3,complete
create_rental,2020-01-01 08:50:13.953480,[57],"[34, 163]",75,EMPTY,EMPTY,EMPTY,5,complete
pay_invoice,2020-01-01 08:50:13.953480,"[13, 5]",EMPTY,7,EMPTY,EMPTY,"[36, 38]",7,complete
pay_invoice,2020-01-01 08:50:13.953480,[50],EMPTY,48,EMPTY,EMPTY,[46],6,complete
create_rental,2020-01-01 08:50:13.953480,[58],"[100, 31]",23,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 08:50:13.953480,[15],EMPTY,76,EMPTY,EMPTY,[5],6,complete
cancel_inventory,2020-01-01 08:50:13.953480,[35],[22],8,EMPTY,EMPTY,EMPTY,1,complete
cancel_inventory,2020-01-01 08:50:13.953480,[30],[6],22,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:50:13.953480,[55],"[65, 9]",35,EMPTY,EMPTY,EMPTY,7,complete
lend_inventory,2020-01-01 08:50:13.953480,[26],"[133, 142]",29,2,EMPTY,EMPTY,1,complete
cancel_inventory,2020-01-01 08:50:13.953480,[32],[153],36,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 08:50:13.953480,"[25, 38]",EMPTY,51,EMPTY,EMPTY,"[10, 43]",2,complete
create_rental,2020-01-01 08:50:13.953480,[56],"[124, 85]",30,EMPTY,EMPTY,EMPTY,2,complete
confirm_invoice,2020-01-01 08:50:55.813945,"[8, 10, 16, 17, 21]",EMPTY,EMPTY,10,EMPTY,"[17, 18, 19, 20, 21]",3,complete
confirm_invoice,2020-01-01 08:52:19.534875,"[13, 5]",EMPTY,EMPTY,11,EMPTY,"[36, 38]",7,complete
create_invoice,2020-01-01 08:54:25.116270,"[56, 58]",EMPTY,EMPTY,16,EMPTY,"[49, 50]",2,complete
cancel_inventory,2020-01-01 08:55:48.837200,[30],[24],22,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 08:55:48.837200,[67],"[75, 87]",74,EMPTY,EMPTY,EMPTY,4,complete
create_rental,2020-01-01 08:55:48.837200,[66],[112],23,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:55:48.837200,[65],[71],9,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 08:55:48.837200,[64],"[69, 86]",25,EMPTY,EMPTY,EMPTY,4,complete
create_rental,2020-01-01 08:55:48.837200,[63],[97],13,EMPTY,EMPTY,EMPTY,6,complete
cancel_inventory,2020-01-01 08:55:48.837200,[35],[7],8,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 08:55:48.837200,[9],EMPTY,49,EMPTY,EMPTY,[37],7,complete
pay_invoice,2020-01-01 08:55:48.837200,"[42, 47]",EMPTY,34,EMPTY,EMPTY,"[32, 45]",6,complete
pay_invoice,2020-01-01 08:55:48.837200,[23],EMPTY,26,EMPTY,EMPTY,[16],5,complete
create_rental,2020-01-01 08:55:48.837200,[62],"[66, 95]",19,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 08:55:48.837200,[61],[165],35,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 08:55:48.837200,[60],[139],62,EMPTY,EMPTY,EMPTY,6,complete
create_rental,2020-01-01 08:55:48.837200,[59],"[132, 23]",20,EMPTY,EMPTY,EMPTY,6,complete
pay_invoice,2020-01-01 08:55:48.837200,[34],EMPTY,63,EMPTY,EMPTY,[39],7,complete
pay_invoice,2020-01-01 08:55:48.837200,[48],EMPTY,37,EMPTY,EMPTY,[44],2,complete
lend_inventory,2020-01-01 08:55:48.837200,"[32, 27]","[110, 167, 154]",36,2,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 08:55:48.837200,"[0, 44]",EMPTY,70,EMPTY,EMPTY,"[35, 41]",7,complete
confirm_invoice,2020-01-01 08:57:54.418595,[23],EMPTY,EMPTY,20,EMPTY,[16],5,complete
create_invoice,2020-01-01 08:58:36.279060,"[53, 45]",EMPTY,EMPTY,5,EMPTY,"[51, 52]",1,complete
confirm_rental,2020-01-01 09:00:41.860455,"[5, 13]",EMPTY,EMPTY,14,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 09:01:23.720920,[58],EMPTY,23,EMPTY,EMPTY,[50],2,complete
create_rental,2020-01-01 09:01:23.720920,[68],"[49, 115]",67,EMPTY,EMPTY,EMPTY,4,complete
create_rental,2020-01-01 09:01:23.720920,[69],"[122, 157]",3,EMPTY,EMPTY,EMPTY,3,complete
lend_inventory,2020-01-01 09:01:23.720920,"[13, 5]","[74, 62, 101, 109]",7,14,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 09:01:23.720920,[70],"[22, 6]",71,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 09:01:23.720920,[71],"[137, 140]",17,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 09:01:23.720920,[72],"[24, 153]",1,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 09:01:23.720920,[45],EMPTY,64,EMPTY,EMPTY,[51],1,complete
pay_invoice,2020-01-01 09:01:23.720920,[54],EMPTY,38,EMPTY,EMPTY,[48],3,complete
create_invoice,2020-01-01 09:02:05.581385,"[59, 60, 63]",EMPTY,EMPTY,7,EMPTY,"[53, 54, 55]",6,complete
create_invoice,2020-01-01 09:02:47.441850,"[40, 41, 49, 51, 57, 62]",EMPTY,EMPTY,20,EMPTY,"[56, 57, 58, 59, 60, 61]",5,complete
create_invoice,2020-01-01 09:03:29.302315,"[69, 71]",EMPTY,EMPTY,12,EMPTY,"[62, 63]",3,complete
create_invoice,2020-01-01 09:04:11.162780,"[64, 67, 68]",EMPTY,EMPTY,13,EMPTY,"[64, 65, 66]",4,complete
confirm_rental,2020-01-01 09:04:53.023245,"[3, 18, 19, 29]",EMPTY,EMPTY,16,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 09:06:58.604640,[73],"[104, 3]",3,EMPTY,EMPTY,EMPTY,3,complete
lend_inventory,2020-01-01 09:06:58.604640,[3],"[162, 78]",9,16,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 09:06:58.604640,[74],"[27, 13]",39,EMPTY,EMPTY,EMPTY,4,complete
create_rental,2020-01-01 09:06:58.604640,[75],[148],31,EMPTY,EMPTY,EMPTY,3,complete
pay_invoice,2020-01-01 09:06:58.604640,"[59, 43]",EMPTY,20,EMPTY,EMPTY,"[33, 53]",6,complete
create_rental,2020-01-01 09:06:58.604640,[76],[136],75,EMPTY,EMPTY,EMPTY,5,complete
lend_inventory,2020-01-01 09:06:58.604640,"[18, 29]","[8, 103, 40, 47]",58,16,EMPTY,EMPTY,2,complete
confirm_rental,2020-01-01 09:07:40.465105,"[4, 12, 23]",EMPTY,EMPTY,20,EMPTY,EMPTY,5,complete
confirm_invoice,2020-01-01 09:08:22.325570,"[36, 38, 48, 25, 58]",EMPTY,EMPTY,16,EMPTY,"[10, 12, 43, 44, 50]",2,complete
create_invoice,2020-01-01 09:09:04.186035,"[72, 70]",EMPTY,EMPTY,5,EMPTY,"[67, 68]",1,complete
create_invoice,2020-01-01 09:10:27.906965,"[61, 55]",EMPTY,EMPTY,11,EMPTY,"[69, 70]",7,complete
confirm_rental,2020-01-01 09:11:51.627895,"[8, 10, 16, 17, 21]",EMPTY,EMPTY,3,EMPTY,EMPTY,3,complete
pay_invoice,2020-01-01 09:12:33.488360,[53],EMPTY,8,EMPTY,EMPTY,[52],1,complete
pay_invoice,2020-01-01 09:12:33.488360,"[68, 37]",EMPTY,67,EMPTY,EMPTY,"[34, 66]",4,complete
pay_invoice,2020-01-01 09:12:33.488360,"[41, 49]",EMPTY,33,EMPTY,EMPTY,"[57, 58]",5,complete
cancel_inventory,2020-01-01 09:12:33.488360,[16],[53],24,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 09:12:33.488360,[81],[77],19,EMPTY,EMPTY,EMPTY,5,complete
pay_invoice,2020-01-01 09:12:33.488360,"[40, 57]",EMPTY,75,EMPTY,EMPTY,"[56, 60]",5,complete
create_rental,2020-01-01 09:12:33.488360,[80],"[138, 131]",12,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 09:12:33.488360,[78],"[83, 36]",74,EMPTY,EMPTY,EMPTY,4,complete
pay_invoice,2020-01-01 09:12:33.488360,[64],EMPTY,25,EMPTY,EMPTY,[64],4,complete
create_rental,2020-01-01 09:12:33.488360,[79],"[48, 145]",56,EMPTY,EMPTY,EMPTY,7,complete
pay_invoice,2020-01-01 09:12:33.488360,[51],EMPTY,47,EMPTY,EMPTY,[59],5,complete
lend_inventory,2020-01-01 09:12:33.488360,[23],"[76, 45]",26,20,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 09:12:33.488360,[77],[7],22,EMPTY,EMPTY,EMPTY,1,complete
lend_inventory,2020-01-01 09:12:33.488360,[19],"[70, 39]",44,16,EMPTY,EMPTY,2,complete
create_invoice,2020-01-01 09:13:15.348825,"[74, 78]",EMPTY,EMPTY,4,EMPTY,"[71, 72]",4,complete
confirm_invoice,2020-01-01 09:15:20.930220,"[0, 9, 34, 44]",EMPTY,EMPTY,11,EMPTY,"[35, 37, 39, 41]",7,complete
lend_inventory,2020-01-01 09:18:08.372080,"[17, 10]","[17, 42, 46, 111]",66,19,EMPTY,EMPTY,3,complete
lend_inventory,2020-01-01 09:18:08.372080,[12],"[146, 107]",12,20,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 09:18:08.372080,[84],"[123, 109]",42,EMPTY,EMPTY,EMPTY,7,complete
cancel_inventory,2020-01-01 09:18:08.372080,[21],[128],73,EMPTY,EMPTY,EMPTY,3,complete
pay_invoice,2020-01-01 09:18:08.372080,[63],EMPTY,13,EMPTY,EMPTY,[55],6,complete
return_inventory,2020-01-01 09:18:08.372080,[19],"[70, 39]",44,2,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 09:18:08.372080,[62],EMPTY,19,EMPTY,EMPTY,[61],5,complete
return_inventory,2020-01-01 09:18:08.372080,"[13, 5]","[74, 62, 101, 109]",7,7,EMPTY,EMPTY,7,complete
return_inventory,2020-01-01 09:18:08.372080,[26],"[133, 142]",29,1,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 09:18:08.372080,[74],EMPTY,39,EMPTY,EMPTY,[71],4,complete
cancel_inventory,2020-01-01 09:18:08.372080,[11],[30],22,EMPTY,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 09:18:08.372080,[82],[53],38,EMPTY,EMPTY,EMPTY,3,complete
lend_inventory,2020-01-01 09:18:08.372080,[4],"[56, 89]",75,20,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 09:18:08.372080,[83],"[64, 101]",14,EMPTY,EMPTY,EMPTY,7,complete
create_invoice,2020-01-01 09:20:13.953475,"[80, 81, 76]",EMPTY,EMPTY,20,EMPTY,"[73, 74, 75]",5,complete
confirm_rental,2020-01-01 09:22:19.534870,"[25, 36, 38, 48, 58]",EMPTY,EMPTY,16,EMPTY,EMPTY,2,complete
lend_inventory,2020-01-01 09:23:43.255800,[11],[20],22,6,EMPTY,EMPTY,1,complete
create_rental,2020-01-01 09:23:43.255800,[91],"[74, 149]",21,EMPTY,EMPTY,EMPTY,7,complete
create_rental,2020-01-01 09:23:43.255800,[90],"[51, 29]",39,EMPTY,EMPTY,EMPTY,4,complete
create_rental,2020-01-01 09:23:43.255800,[89],[152],3,EMPTY,EMPTY,EMPTY,3,complete
return_inventory,2020-01-01 09:23:43.255800,"[18, 29]","[8, 103, 40, 47]",58,2,EMPTY,EMPTY,2,complete
cancel_inventory,2020-01-01 09:23:43.255800,[16],[152],24,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 09:23:43.255800,[88],[30],8,EMPTY,EMPTY,EMPTY,1,complete
return_inventory,2020-01-01 09:23:43.255800,[12],"[146, 107]",12,5,EMPTY,EMPTY,5,complete
lend_inventory,2020-01-01 09:23:43.255800,"[25, 38]","[164, 79, 1, 150]",51,16,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 09:23:43.255800,[87],[128],66,EMPTY,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 09:23:43.255800,[86],[14],5,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 09:23:43.255800,[85],"[133, 142]",50,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 09:23:43.255800,[71],EMPTY,17,EMPTY,EMPTY,[63],3,complete
cancel_inventory,2020-01-01 09:23:43.255800,[36],[120],23,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 09:23:43.255800,[76],EMPTY,75,EMPTY,EMPTY,[73],5,complete
create_invoice,2020-01-01 09:24:25.116265,"[65, 66]",EMPTY,EMPTY,16,EMPTY,"[76, 77]",2,complete
create_invoice,2020-01-01 09:25:06.976730,"[91, 83, 84, 79]",EMPTY,EMPTY,14,EMPTY,"[78, 79, 80, 81]",7,complete
create_invoice,2020-01-01 09:26:30.697660,[86],EMPTY,EMPTY,20,EMPTY,[82],5,complete
create_invoice,2020-01-01 09:27:12.558125,[90],EMPTY,EMPTY,4,EMPTY,[83],4,complete
create_rental,2020-01-01 09:29:18.139520,[97],[107],33,EMPTY,EMPTY,EMPTY,5,complete
create_rental,2020-01-01 09:29:18.139520,[96],"[40, 103]",37,EMPTY,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 09:29:18.139520,[98],[41],21,EMPTY,EMPTY,EMPTY,7,complete
return_inventory,2020-01-01 09:29:18.139520,[4],"[56, 89]",75,5,EMPTY,EMPTY,5,complete
return_inventory,2020-01-01 09:29:18.139520,"[25, 38]","[164, 79, 1, 150]",51,2,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 09:29:18.139520,[99],"[164, 39]",9,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 09:29:18.139520,[84],EMPTY,42,EMPTY,EMPTY,[80],7,complete
pay_invoice,2020-01-01 09:29:18.139520,"[24, 69]",EMPTY,3,EMPTY,EMPTY,"[22, 62]",3,complete
create_rental,2020-01-01 09:29:18.139520,[95],[62],35,EMPTY,EMPTY,EMPTY,7,complete
return_inventory,2020-01-01 09:29:18.139520,"[32, 27]","[110, 167, 154]",36,1,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 09:29:18.139520,"[67, 78]",EMPTY,74,EMPTY,EMPTY,"[65, 72]",4,complete
pay_invoice,2020-01-01 09:29:18.139520,[39],EMPTY,28,EMPTY,EMPTY,[40],7,complete
create_rental,2020-01-01 09:29:18.139520,[93],"[11, 59]",67,EMPTY,EMPTY,EMPTY,4,complete
return_inventory,2020-01-01 09:29:18.139520,"[17, 10]","[17, 42, 46, 111]",66,3,EMPTY,EMPTY,3,complete
create_rental,2020-01-01 09:29:18.139520,[92],"[8, 47]",23,EMPTY,EMPTY,EMPTY,2,complete
pay_invoice,2020-01-01 09:29:18.139520,[20],EMPTY,54,EMPTY,EMPTY,[15],5,complete
create_rental,2020-01-01 09:29:18.139520,[94],"[154, 167]",22,EMPTY,EMPTY,EMPTY,1,complete
pay_invoice,2020-01-01 09:29:18.139520,[80],EMPTY,12,EMPTY,EMPTY,[74],5,complete
pay_invoice,2020-01-01 09:29:18.139520,[31],EMPTY,78,EMPTY,EMPTY,[28],1,complete
inspect_inventories,2020-01-01 09:29:59.999985,"[17, 10]","[17, 42, 46, 111]",EMPTY,10,"[17, 18, 19, 20]",EMPTY,3,start
create_invoice,2020-01-01 09:30:41.860450,"[98, 95]",EMPTY,EMPTY,14,EMPTY,"[86, 87]",7,complete
create_invoice,2020-01-01 09:30:59.999985,"[17, 10]",EMPTY,EMPTY,15,EMPTY,"[84, 85]",3,complete
create_invoice,2020-01-01 09:32:47.441845,"[88, 85, 77, 94]",EMPTY,EMPTY,5,EMPTY,"[88, 89, 90, 91]",1,complete
inspect_inventories,2020-01-01 09:33:29.302310,"[12, 4]","[146, 107, 56, 89]",EMPTY,20,"[8, 9, 21, 22]",EMPTY,5,start
create_invoice,2020-01-01 09:34:29.302310,"[4, 12]",EMPTY,EMPTY,20,EMPTY,"[92, 93]",5,complete
pay_invoice,2020-01-01 09:34:53.023240,[66],EMPTY,23,EMPTY,EMPTY,[77],2,complete
pay_invoice,2020-01-01 09:34:53.023240,[79],EMPTY,56,EMPTY,EMPTY,[78],7,complete
return_inventory,2020-01-01 09:34:53.023240,[3],"[162, 78]",9,2,EMPTY,EMPTY,2,complete
create_rental,2020-01-01 09:34:53.023240,[100],"[4, 28]",39,EMPTY,EMPTY,EMPTY,4,complete
